Number,VID,Unit,Format,Comment,


Module Name : CTC,

  210),      1013,        __,         A[32],PJobID,

  211),      1014,       sec,         A[10],Total_Process_Time,

  212),      1015,       sec,         A[10],Current_Process_Time,

  213),      1016,        id,         A[10],Total_Step_Count,

  214),      1017,        id,         A[10],Current_Step_Count,

  215),      1018,       sec,         A[10],Total_Step_Time,

  216),      1019,       sec,         A[10],Current_Step_Time,

  217),      1020,        __,         A[40],Step_Message,

  218),      1104,   Step.ID,         A[10],PM1_Total_Step_Number,

  219),      1105,   Step.ID,         A[10],PM1_Current_Step_Number,

  220),      1106,        __,         A[10],PM1_Current_Step_Name,

  221),      1107,      mode,         A[10],PM1_Current_Step_Type,

  222),      1108,       sec,         A[10],PM1_Total_Process_Time,

  223),      1109,       sec,         A[10],PM1_Recipe_Step_Time,

  224),      1110,       sec,         A[10],PM1_Current_Process_Time,

  225),      1111,       sec,         A[10],PM1_Current_Step_Time,

  226),      1112,        __,         A[10],PM1_Chamber_State,

  227),      1113,     mtorr,         A[10],PM1_Chamber_Base_Press,

  228),     11001,        __,         A[6],RF_60MHz_OverTemp_Status,

  229),     11002,        __,         A[3],RF_60MHz_On_Status,

  230),     11003,        __,         A[5],RF_60MHz_Interlock_Status,

  231),     11004,        __,         A[3],RF_60MHz_Water_On_Status,

  232),     11005,        __,         A[3],RF_60MHz_Max_Reflect_Power_STatus,

  233),     11011,        __,         A[3],RF_27MHz_Matcher_Fan_On_Status,

  234),     11012,        __,         A[3],RF_27MHz_RF_Fan_On_Status,

  235),     11013,        __,         A[5],RF_27MHz_RF_Cover_Switch,

  236),     11021,        __,         A[5],RF_2MHz_RF_Cover_Switch,

  237),     11022,        __,         A[5],RF_2MHz_RF_Fan_On_Status,

  238),     11031,        __,         A[7],RF_AC_Contactor,

  239),     11032,        __,         A[3],RF_Ground_Up_Sensor,

  240),     11033,        __,         A[3],RF_Ground_Down_Sensor,

  241),     11034,        __,         A[5],Matcher_Cover_Switch,

  242),     11041,        __,         A[6],WAP_Error_Status,

  243),     11042,        __,         A[5],Scrubber_Swtich_Status,

  244),     11043,        __,         A[6],Throttle_Valve_Lock_Sensor,

  245),     11044,        __,         A[3],Manual_End_Posint_Sensor,

  246),     11051,        __,         A[4],TCU_Run_Status,

  247),     11052,        __,         A[6],TCU_Control_Mode,

  248),     11053,        __,         A[7],TCU_Warning_Status,

  249),     11054,        __,         A[6],TCU_Error_Status,

  250),     11061,        __,         A[5],Throttle_Valve_Interlock_Switch_Status,

  251),     11062,        __,         A[5],TMP_Cover_Interlock_Switch_Status,

  252),     11063,        __,         A[5],TMP_Exhaust_Valve_Interlock_Switch_Status,

  253),     11064,        __,         A[5],Vacuum_Switch_Status,

  254),     11065,        __,         A[5],ATM_Switch_Status,

  255),     11066,        __,         A[5],Chamber_Closed_Swithc_Status,

  256),     11067,        __,         A[5],CDA_Pressure_Switch_Status,

  257),     11068,        __,         A[5],Chamber_Flow_Switch_Status,

  258),     11069,        __,         A[5],ESC_Coolant_Flow_Status,

  259),     11070,        __,         A[5],Water_Leak_Detection_Status,

  260),     11071,        __,         A[4],Board_Connection_Status,

  261),     11072,        __,         A[3],Middle_Pin_Position_Sensor,

  262),     11073,        __,         A[4],Wafer_Lifter_Up_Sensor,

  263),     11074,        __,         A[4],Wafer_Lifter_Down_Sensor,

  264),     11075,        __,         A[5],He_RF_Enclosure_Cover_Switch_Status,

  265),     11076,        __,         A[5],Slot_Valve_Status,

  266),     11077,        __,         A[5],Low_Elect_Closed_Switch_Status,

  267),     11078,        __,         A[5],Slot_Valve_Closed_Status,

  268),     11081,        __,         A[5],Gas_ManVac_PSH2,

  269),     11082,        __,         A[5],Chamber_DeliverVac_PSH3,

  270),     11083,        __,         A[5],Scrubber_Switch_PSH8,

  271),     11084,        __,         A[5],N2_Purge_Supply_PSH9,

  272),     11085,        __,         A[5],Customer_Gas_Delect_Switch,

  273),     11086,        __,         A[5],Customer_Interlock_Switch,

  274),     11087,        __,         A[5],H2_Interlock_Switch,

  275),     11088,        __,         A[5],H2_Interlock_Switch_Installed,

  276),     11089,        __,         A[5],Tunning_Gas_Deliver_VAC_PSH4,

  277),     11090,        __,         A[3],Heater1_Status,

  278),     11091,        __,         A[3],Heater2_Status,

  279),     11092,        __,         A[5],Cover_Interlock_Status,

  280),     11201,        __,         A[7],RF_60MHz_Load_Set,

  281),     11202,        __,         A[6],RF_60MHz_Swtich,

  282),     11203,        __,         A[6],RF_2MHz_Tap_K1,

  283),     11204,        __,         A[3],RF_2MHz_Tap_K2,

  284),     11205,        __,         A[3],RF_2MHz_Tap_K3,

  285),     11206,        __,         A[7],RF_AC_Contactor,

  286),     11207,        __,         A[5],WAP_Error_Reset,

  287),     11208,        __,         A[6],Throttle_Valve_Interlock,

  288),     11209,        __,         A[10],Compensation_Mode_Select,

  289),     11211,        __,         A[6],TCU_Control_Mode,

  290),     11212,        __,         A[4],TCU_Run,

  291),     11213,        __,         A[3],TCU_Source_Power,

  292),     11221,        __,         A[3],Interlock_Bypass,

  293),     11222,        __,         A[5],Process_Manometer_Isolation_Valve,

  294),     11223,        __,         A[5],RF_2MHz_Water_Valve,

  295),     11224,        __,         A[5],RF_27MHz_Water_Valve,

  296),     11225,        __,         A[5],TMP_N2_Purge_Valve,

  297),     11226,        __,         A[5],Chamber_Rough_Valve,

  298),     11227,        __,         A[5],TMP_Exhaust_Valve,

  299),     11228,        __,         A[5],RF_60MHz_Water_Valve,

  300),     11229,        __,         A[5],Soft_Rough_Valve,

  301),     11230,        __,         A[5],He_Foreline_Valve,

  302),     11231,        __,         A[5],Main_Water_Valve,

  303),     11232,        __,         A[5],Gas_Line_Shutoff_Valve,

  304),     11233,        __,         A[5],He_Supply_Valve,

  305),     11234,        __,         A[5],Fixed_Bias_Setpoint,

  306),     11235,        __,         A[12],Bias_Compensation_Enable,

  307),     11236,        __,         A[7],External_Volt_Compensation_Enable,

  308),     11237,        __,         A[3],ESC_Reverse_Polarity,

  309),     11238,        __,         A[3],ESC_Power_Set,

  310),     11239,        __,         A[5],He_Inner_Isolation_Valve,

  311),     11240,        __,         A[5],He_Ballast_Outer_Valve,

  312),     11241,        __,         A[5],He_Ballast_Inner_Valve,

  313),     11242,        __,         A[5],He_Outer_Isolation_Valve,

  314),     11243,        __,         A[4],Wafer_Lifter_Down,

  315),     11244,        __,         A[4],Wafer_Lifter_Up,

  316),     11245,        __,         A[5],He_Inner_Zone_Evac_Valve,

  317),     11246,        __,         A[5],He_Outer_Zone_Evac_Valve,

  318),     11247,        __,         A[3],Middle_Pin_Up_Set,

  319),     11248,        __,         A[3],Middle_Pin_Down_Set,

  320),     11251,        __,         A[5],Gas1_Primary_Valve_10,

  321),     11252,        __,         A[5],Gas2_Primary_Valve_20,

  322),     11253,        __,         A[5],Gas3_Primary_Valve_30,

  323),     11254,        __,         A[5],Gas4_Primary_Valve_40,

  324),     11255,        __,         A[5],Gas5_Primary_Valve_50,

  325),     11256,        __,         A[5],Gas6_Primary_Valve_60,

  326),     11257,        __,         A[5],Gas7_Primary_Valve_70,

  327),     11258,        __,         A[5],Gas8_Primary_Valve_80,

  328),     11259,        __,         A[5],Gas9_Primary_Valve_90,

  329),     11260,        __,         A[5],Gas10_Primary_Valve_100,

  330),     11261,        __,         A[5],Gas11_Primary_Valve_110,

  331),     11262,        __,         A[5],Gas12_Primary_Valve_120,

  332),     11263,        __,         A[5],Gas13_Primary_Valve_130,

